src_ip,packet_count,unique_ports,proto_avg,attack_list,port_scan_ratio,common_port_ratio,rule_pred,ml_pred,risk_score,final_pred
168.0.164.151,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.152,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.153,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.154,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.155,3,1,1.0,"['NA', 'NA', 'NA']",0.25,0.0,0,0,0.010894027661180222,0
168.0.164.156,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.157,3,1,1.0,"['NA', 'NA', 'NA']",0.25,0.0,0,0,0.010894027661180222,0
168.0.164.158,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.159,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.16,3,1,1.0,"['NA', 'NA', 'NA']",0.25,0.0,0,0,0.010894027661180222,0
168.0.164.160,5,1,1.0,"['NA', 'NA', 'NA', 'NA', 'NA']",0.16666666666666666,0.0,0,0,0.015276682467402153,0
168.0.164.161,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.162,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.163,4,1,1.0,"['NA', 'NA', 'NA', 'NA']",0.2,0.0,0,0,0.013072833193416266,0
168.0.164.164,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.166,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.167,3,1,1.0,"['NA', 'NA', 'NA']",0.25,0.0,0,0,0.010894027661180222,0
168.0.164.168,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.169,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.17,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.170,4,1,1.0,"['NA', 'NA', 'NA', 'NA']",0.2,0.0,0,0,0.013072833193416266,0
168.0.164.171,6,1,1.0,"['NA', 'NA', 'NA', 'NA', 'NA', 'NA']",0.14285714285714285,0.0,0,0,0.01749484245095937,0
168.0.164.172,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.173,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.174,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.175,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.176,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.178,3,1,1.0,"['NA', 'NA', 'NA']",0.25,0.0,0,0,0.010894027661180222,0
168.0.164.179,3,1,1.0,"['NA', 'NA', 'NA']",0.25,0.0,0,0,0.010894027661180222,0
168.0.164.18,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.180,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.181,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.182,4,1,1.0,"['NA', 'NA', 'NA', 'NA']",0.2,0.0,0,0,0.013072833193416266,0
168.0.164.183,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.184,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.187,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.188,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.189,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.190,6,1,1.0,"['NA', 'NA', 'NA', 'NA', 'NA', 'NA']",0.14285714285714285,0.0,0,0,0.01749484245095937,0
168.0.164.191,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.192,5,1,1.0,"['NA', 'NA', 'NA', 'NA', 'NA']",0.16666666666666666,0.0,0,0,0.015276682467402153,0
168.0.164.193,3,1,1.0,"['NA', 'NA', 'NA']",0.25,0.0,0,0,0.010894027661180222,0
168.0.164.194,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.195,4,1,1.0,"['NA', 'NA', 'NA', 'NA']",0.2,0.0,0,0,0.013072833193416266,0
168.0.164.196,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.197,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.198,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.199,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.2,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.20,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.200,3,1,1.0,"['NA', 'NA', 'NA']",0.25,0.0,0,0,0.010894027661180222,0
168.0.164.201,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.202,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.204,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.205,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.206,5,1,1.0,"['NA', 'NA', 'NA', 'NA', 'NA']",0.16666666666666666,0.0,0,0,0.015276682467402153,0
168.0.164.207,4,1,1.0,"['NA', 'NA', 'NA', 'NA']",0.2,0.0,0,0,0.013072833193416266,0
168.0.164.209,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.21,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.210,4,1,1.0,"['NA', 'NA', 'NA', 'NA']",0.2,0.0,0,0,0.013072833193416266,0
168.0.164.211,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.212,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.213,5,1,1.0,"['NA', 'NA', 'NA', 'NA', 'NA']",0.16666666666666666,0.0,0,0,0.015276682467402153,0
168.0.164.214,5,1,1.0,"['NA', 'NA', 'NA', 'NA', 'NA']",0.16666666666666666,0.0,0,0,0.015276682467402153,0
168.0.164.215,3,1,1.0,"['NA', 'NA', 'NA']",0.25,0.0,0,0,0.010894027661180222,0
168.0.164.216,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.217,3,1,1.0,"['NA', 'NA', 'NA']",0.25,0.0,0,0,0.010894027661180222,0
168.0.164.218,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.219,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.220,4,1,1.0,"['NA', 'NA', 'NA', 'NA']",0.2,0.0,0,0,0.013072833193416266,0
168.0.164.221,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
